Country Name,Country Code,Indicator Name,2015,2016,2017,2018,2019,2020,2021
Heavily indebted poor countries (HIPC),HPC,GDP per capita (current US$),953.1767609,973.2160945,1049.363575,972.3160176,978.4946479,958.4398618,1035.701648
Croatia,HRV,GDP per capita (current US$),11952.31118,12552.25538,13655.81594,15244.43105,15331.88305,14198.75396,17685.32528
Haiti,HTI,GDP per capita (current US$),1404.155214,1305.571297,1384.038372,1494.224962,1324.844005,1283.14083,1829.593044
Hungary,HUN,GDP per capita (current US$),12717.0386,13104.69955,14621.2396,16425.1013,16782.95246,16120.98905,18728.12189
IBRD only,IBD,GDP per capita (current US$),5517.283336,5507.232725,6023.292324,6352.347013,6435.953319,6149.370601,7221.406351
IDA & IBRD total,IBT,GDP per capita (current US$),4471.99645,4455.815489,4838.502342,5076.592986,5125.9788,4888.966209,5684.927074
IDA total,IDA,GDP per capita (current US$),1321.784444,1324.751323,1355.171234,1376.901602,1382.250359,1343.287851,1433.795141
IDA blend,IDB,GDP per capita (current US$),1930.460187,1818.404972,1751.50761,1874.947566,1827.168474,1719.895065,1842.771049
Indonesia,IDN,GDP per capita (current US$),3322.581688,3558.818852,3839.785069,3902.661668,4151.227543,3894.272202,4332.709281
IDA only,IDX,GDP per capita (current US$),1009.709289,1073.49641,1155.206643,1125.361424,1159.353384,1156.369671,1231.126624
Isle of Man,IMN,GDP per capita (current US$),84759.34595,82045.43884,83507.79761,89429.65459,87157.47146,,
India,IND,GDP per capita (current US$),1590.173918,1714.280355,1957.968841,1974.377788,2047.232704,1910.421473,2256.590409
Not classified,INX,GDP per capita (current US$),,,,,,,
Ireland,IRL,GDP per capita (current US$),62053.98444,62895.91112,69970.94891,79250.38785,80927.07467,85420.19086,100172.0793
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),4990.936798,5497.243227,5758.59072,3873.99534,3277.875596,2746.42045,4091.209187
Iraq,IRQ,GDP per capita (current US$),4416.943049,4305.202702,4725.193573,5601.467061,5621.181695,4332.304125,4775.377454
Iceland,ISL,GDP per capita (current US$),52951.68151,61987.92636,72010.14903,74461.48,68853.71522,59200.17794,68727.63666
Israel,ISR,GDP per capita (current US$),36206.52222,37690.47395,41114.78171,42406.84543,44452.23256,44846.7916,52170.71186
Italy,ITA,GDP per capita (current US$),30242.38614,30960.73151,32406.72032,34622.16967,33673.75096,31911.03579,35657.49756
Jamaica,JAM,GDP per capita (current US$),5077.550622,5022.704717,5273.150744,5594.493935,5626.171177,4897.265897,5183.581305
Jordan,JOR,GDP per capita (current US$),4064.253016,4003.404749,4073.116404,4146.407296,4205.563654,4042.76935,4103.258966
Japan,JPN,GDP per capita (current US$),34960.63938,39375.47316,38834.05293,39727.1166,40458.00188,39918.16756,39312.66037
Kazakhstan,KAZ,GDP per capita (current US$),10510.77189,7714.841844,9247.581331,9812.626371,9812.595808,9121.637138,10373.78979
Kenya,KEN,GDP per capita (current US$),1496.652856,1562.076142,1675.973916,1845.78294,1970.105143,1936.424589,2081.799855
Kyrgyz Republic,KGZ,GDP per capita (current US$),1121.082835,1120.666513,1242.769643,1308.140165,1374.032105,1182.5217,1276.700365
Cambodia,KHM,GDP per capita (current US$),1170.742816,1281.105964,1400.89926,1533.315985,1671.385385,1577.911747,1625.23502
Kiribati,KIR,GDP per capita (current US$),1459.133021,1506.246679,1563.550457,1605.01365,1432.178985,1430.551574,1606.462514
St. Kitts and Nevis,KNA,GDP per capita (current US$),20025.96235,21095.25404,22160.44861,22547.91799,23219.33142,18566.09559,18082.61019
"Korea, Rep.",KOR,GDP per capita (current US$),28732.23108,29288.87044,31616.8434,33436.92306,31902.4169,31721.29891,34997.78164
