Country Name,Country Code,Indicator Name,2016,2017,2018,2019,2020,2021
Middle East & North Africa (excluding high income),MNA,GDP (current US$),1.47584E+12,1.46428E+12,1.39081E+12,1.39357E+12,1.27409E+12,1.49375E+12
Montenegro,MNE,GDP (current US$),4377033429,4856632399,5506766651,5542053845,4769860741,5861268039
Mongolia,MNG,GDP (current US$),11181350461,11480847745,13178094459,14206359007,13312981595,15286441818
Northern Mariana Islands,MNP,GDP (current US$),1230000000,1560000000,1302000000,1182000000,,
Mozambique,MOZ,GDP (current US$),11936999283,13219084261,14845402474,15390039242,14028811072,15776758633
Mauritania,MRT,GDP (current US$),6398738829,6800141922,7473550557,8066126312,8405491202,9996249658
Mauritius,MUS,GDP (current US$),12594149441,13713509312,14735695931,14436353898,11401050655,11529042672
Malawi,MWI,GDP (current US$),5433040160,8943543677,9880675786,11025371147,12182348213,12626717492
Malaysia,MYS,GDP (current US$),3.01255E+11,3.19112E+11,3.58792E+11,3.65175E+11,3.37338E+11,3.72981E+11
North America,NAC,GDP (current US$),2.023E+13,2.11337E+13,2.22656E+13,2.31304E+13,2.27128E+13,2.53107E+13
Namibia,NAM,GDP (current US$),10721994676,12895153157,13682062251,12541928105,10581585630,12310595844
New Caledonia,NCL,GDP (current US$),8724570250,9173668102,9846922416,9438130987,9435529927,10071351960
Niger,NER,GDP (current US$),10398862245,11185102400,12808660528,12916455161,13744174690,14915001427
Nigeria,NGA,GDP (current US$),4.04649E+11,3.75746E+11,4.21739E+11,4.4812E+11,4.32199E+11,4.40834E+11
Nicaragua,NIC,GDP (current US$),13286083645,13785909906,13025239912,12596636042,12586970511,14013022092
Netherlands,NLD,GDP (current US$),7.8406E+11,8.3387E+11,9.14043E+11,9.10194E+11,9.09793E+11,1.01285E+12
Norway,NOR,GDP (current US$),3.68827E+11,3.98394E+11,4.37E+11,4.04941E+11,3.62198E+11,4.82175E+11
Nepal,NPL,GDP (current US$),24524098185,28971589213,33111525872,34186190996,33433670512,36288830373
Nauru,NRU,GDP (current US$),99723394.96,109359680.2,124021393.7,118724073.8,114626625.6,133218896.9
New Zealand,NZL,GDP (current US$),1.88838E+11,2.06624E+11,2.11953E+11,2.13435E+11,2.11735E+11,2.49886E+11
OECD members,OED,GDP (current US$),4.83254E+13,5.04439E+13,5.33658E+13,5.38786E+13,5.25171E+13,5.82684E+13
Oman,OMN,GDP (current US$),75128738622,80856697009,91505851756,88060858257,75909397659,88191977373
Other small states,OSS,GDP (current US$),3.66357E+11,3.98943E+11,4.42888E+11,4.33363E+11,3.78315E+11,4.53948E+11
Pakistan,PAK,GDP (current US$),3.1363E+11,3.39206E+11,3.56128E+11,3.20909E+11,3.00426E+11,3.48263E+11
Panama,PAN,GDP (current US$),57907700000,62202700000,64929400000,66984400000,53977000000,63605100000
Peru,PER,GDP (current US$),1.91896E+11,2.11007E+11,2.22597E+11,2.28323E+11,2.01705E+11,2.23249E+11
Philippines,PHL,GDP (current US$),3.18627E+11,3.28481E+11,3.46842E+11,3.76823E+11,3.61751E+11,3.94086E+11
Palau,PLW,GDP (current US$),298300000,285600000,284900000,278900000,251900000,217800000
Papua New Guinea,PNG,GDP (current US$),20759069103,22742613554,24109509853,24751344561,23848265896,26594305746
Poland,POL,GDP (current US$),4.70023E+11,5.24646E+11,5.88783E+11,5.96055E+11,5.99449E+11,6.79445E+11
Pre-demographic dividend,PRE,GDP (current US$),1.2208E+12,1.30138E+12,1.35609E+12,1.40112E+12,1.31635E+12,1.43426E+12
Puerto Rico,PRI,GDP (current US$),1.04337E+11,1.03446E+11,1.00958E+11,1.05126E+11,1.0302E+11,1.06526E+11
"Korea, Dem. People's Rep.",PRK,GDP (current US$),,,,,,
Portugal,PRT,GDP (current US$),2.06426E+11,2.21358E+11,2.42313E+11,2.39987E+11,2.29032E+11,2.53663E+11
Paraguay,PRY,GDP (current US$),36089700223,38997129474,40225448341,37925338329,35432178068,39495431574
West Bank and Gaza,PSE,GDP (current US$),15405400000,16128000000,16276600000,17133500000,15531700000,18036800000
Pacific island small states,PSS,GDP (current US$),9506189696,10256217497,10753159457,10736233419,9515995237,9481916212
Post-demographic dividend,PST,GDP (current US$),4.55905E+13,4.75323E+13,5.03801E+13,5.08793E+13,4.96978E+13,5.49727E+13
French Polynesia,PYF,GDP (current US$),5497037293,5833351478,6135117589,6001384760,5709421969,6054676735
Qatar,QAT,GDP (current US$),1.51732E+11,1.61099E+11,1.83335E+11,1.75838E+11,1.44411E+11,1.79677E+11
Romania,ROU,GDP (current US$),1.85287E+11,2.10147E+11,2.43317E+11,2.51019E+11,2.51362E+11,2.84088E+11
Russian Federation,RUS,GDP (current US$),1.27679E+12,1.5742E+12,1.65733E+12,1.69311E+12,1.48936E+12,1.77878E+12
Rwanda,RWA,GDP (current US$),8690878328,9252834120,9642440646,10356327149,10184345442,11070356519
South Asia,SAS,GDP (current US$),3.01076E+12,3.43388E+12,3.53421E+12,3.65395E+12,3.48701E+12,4.08877E+12
Saudi Arabia,SAU,GDP (current US$),6.44936E+11,6.88586E+11,8.16579E+11,8.03616E+11,7.03368E+11,8.33541E+11
Sudan,SDN,GDP (current US$),1.02944E+11,1.29718E+11,32333780383,32338079165,27034593750,34326058557
Senegal,SEN,GDP (current US$),19040312815,20996564752,23116897847,23398811424,24493157583,27625388352
